percentage_overlap	tp	gs_count	pp	target	grn	net	n_top	dataset	method
0.0	0	154	34	on_target	net_84_10865	0	0.001	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0064935064935064	1	154	342	on_target	net_84_10865	0	0.01	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0129870129870129	2	154	1710	on_target	net_84_10865	0	0.05	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0454545454545454	7	154	3419	on_target	net_84_10865	0	0.1	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1103896103896103	17	154	6838	on_target	net_84_10865	0	0.2	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1298701298701298	20	154	8548	on_target	net_84_10865	0	0.25	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.2792207792207792	43	154	17096	on_target	net_84_10865	0	0.5	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.4155844155844156	64	154	25643	on_target	net_84_10865	0	0.75	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.5584415584415584	86	154	34191	on_target	net_84_10865	0	1.0	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0	0	154	34	off_target	net_84_10865	1	0.001	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0064935064935064	1	154	342	off_target	net_84_10865	1	0.01	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0389610389610389	6	154	1710	off_target	net_84_10865	1	0.05	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1038961038961039	16	154	3419	off_target	net_84_10865	1	0.1	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1363636363636363	21	154	6838	off_target	net_84_10865	1	0.2	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1688311688311688	26	154	8548	off_target	net_84_10865	1	0.25	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.2857142857142857	44	154	17096	off_target	net_84_10865	1	0.5	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.435064935064935	67	154	25643	off_target	net_84_10865	1	0.75	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.5584415584415584	86	154	34191	off_target	net_84_10865	1	1.0	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0	0	184	34	off_target	net_88_10937	0	0.001	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0108695652173913	2	184	342	off_target	net_88_10937	0	0.01	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0706521739130434	13	184	1710	off_target	net_88_10937	0	0.05	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1195652173913043	22	184	3419	off_target	net_88_10937	0	0.1	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1956521739130435	36	184	6838	off_target	net_88_10937	0	0.2	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.25	46	184	8548	off_target	net_88_10937	0	0.25	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.3695652173913043	68	184	17096	off_target	net_88_10937	0	0.5	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.4945652173913043	91	184	25643	off_target	net_88_10937	0	0.75	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.7010869565217391	129	184	34191	off_target	net_88_10937	0	1.0	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0	0	184	34	on_target	net_88_10937	1	0.001	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0054347826086956	1	184	342	on_target	net_88_10937	1	0.01	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0489130434782608	9	184	1710	on_target	net_88_10937	1	0.05	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0978260869565217	18	184	3419	on_target	net_88_10937	1	0.1	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.1684782608695652	31	184	6838	on_target	net_88_10937	1	0.2	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.2065217391304347	38	184	8548	on_target	net_88_10937	1	0.25	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.3532608695652174	65	184	17096	on_target	net_88_10937	1	0.5	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.532608695652174	98	184	25643	on_target	net_88_10937	1	0.75	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.7010869565217391	129	184	34191	on_target	net_88_10937	1	1.0	net_84_10865_net_88_10937_net_90_11013	scgenerai_config
0.0	0	201	41	on_target	net_133_10773	0	0.001	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0049751243781094	1	201	410	on_target	net_133_10773	0	0.01	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0348258706467661	7	201	2052	on_target	net_133_10773	0	0.05	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0547263681592039	11	201	4104	on_target	net_133_10773	0	0.1	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1194029850746268	24	201	8208	on_target	net_133_10773	0	0.2	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1343283582089552	27	201	10260	on_target	net_133_10773	0	0.25	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.2338308457711442	47	201	20520	on_target	net_133_10773	0	0.5	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.3482587064676617	70	201	30781	on_target	net_133_10773	0	0.75	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.4477611940298507	90	201	41041	on_target	net_133_10773	0	1.0	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0	0	201	41	off_target	net_133_10773	1	0.001	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0049751243781094	1	201	410	off_target	net_133_10773	1	0.01	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0199004975124378	4	201	2052	off_target	net_133_10773	1	0.05	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0497512437810945	10	201	4104	off_target	net_133_10773	1	0.1	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0945273631840796	19	201	8208	off_target	net_133_10773	1	0.2	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1044776119402985	21	201	10260	off_target	net_133_10773	1	0.25	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.2139303482587064	43	201	20520	off_target	net_133_10773	1	0.5	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.3432835820895522	69	201	30781	off_target	net_133_10773	1	0.75	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.4477611940298507	90	201	41041	off_target	net_133_10773	1	1.0	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0	0	164	41	off_target	net_82_10152	0	0.001	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0	0	164	410	off_target	net_82_10152	0	0.01	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0182926829268292	3	164	2052	off_target	net_82_10152	0	0.05	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0609756097560975	10	164	4104	off_target	net_82_10152	0	0.1	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1402439024390244	23	164	8208	off_target	net_82_10152	0	0.2	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1524390243902439	25	164	10260	off_target	net_82_10152	0	0.25	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.3170731707317073	52	164	20520	off_target	net_82_10152	0	0.5	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.5426829268292683	89	164	30781	off_target	net_82_10152	0	0.75	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.7378048780487805	121	164	41041	off_target	net_82_10152	0	1.0	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0	0	164	41	on_target	net_82_10152	1	0.001	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0	0	164	410	on_target	net_82_10152	1	0.01	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0365853658536585	6	164	2052	on_target	net_82_10152	1	0.05	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0609756097560975	10	164	4104	on_target	net_82_10152	1	0.1	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1036585365853658	17	164	8208	on_target	net_82_10152	1	0.2	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.1219512195121951	20	164	10260	on_target	net_82_10152	1	0.25	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.2865853658536585	47	164	20520	on_target	net_82_10152	1	0.5	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.4756097560975609	78	164	30781	on_target	net_82_10152	1	0.75	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.7378048780487805	121	164	41041	on_target	net_82_10152	1	1.0	net_133_10773_net_82_10152_net_72_10551	scgenerai_config
0.0	0	78	21	on_target	net_53_11196	0	0.001	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0	0	78	213	on_target	net_53_11196	0	0.01	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0384615384615384	3	78	1066	on_target	net_53_11196	0	0.05	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0769230769230769	6	78	2132	on_target	net_53_11196	0	0.1	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.141025641025641	11	78	4264	on_target	net_53_11196	0	0.2	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.1794871794871795	14	78	5330	on_target	net_53_11196	0	0.25	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.358974358974359	28	78	10660	on_target	net_53_11196	0	0.5	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.5	39	78	15991	on_target	net_53_11196	0	0.75	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.6410256410256411	50	78	21321	on_target	net_53_11196	0	1.0	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0	0	78	21	off_target	net_53_11196	1	0.001	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0	0	78	213	off_target	net_53_11196	1	0.01	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0384615384615384	3	78	1066	off_target	net_53_11196	1	0.05	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0769230769230769	6	78	2132	off_target	net_53_11196	1	0.1	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.1025641025641025	8	78	4264	off_target	net_53_11196	1	0.2	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.141025641025641	11	78	5330	off_target	net_53_11196	1	0.25	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.2179487179487179	17	78	10660	off_target	net_53_11196	1	0.5	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.4102564102564102	32	78	15991	off_target	net_53_11196	1	0.75	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.6410256410256411	50	78	21321	off_target	net_53_11196	1	1.0	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
0.0	0	88	21	off_target	net_70_11431	0	0.001	net_53_11196_net_70_11431_net_84_9903	scgenerai_config
