net_name	config_key	filename	clustering_score	total_number_edges	edge_overlap	net_size	overlap_percent	reverse_overlap_percent	dataset	config_dir	n_clusters
net_70_11431	netmap_config_9	clustering_score_leiden.json		42849	88	88	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_53_11196	netmap_ensemble_nb_mean	clustering_score_leiden.json		42849	78	78	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_70_11431	netmap_ensemble_nb_mean	clustering_score_leiden.json		42849	88	88	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_53_11196	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	42849	78	78	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_70_11431	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	42849	88	88	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_53_11196	netmap_ensemble_zinb_mean	clustering_score_leiden.json		42849	78	78	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_70_11431	netmap_ensemble_zinb_mean	clustering_score_leiden.json		42849	88	88	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_53_11196	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	42849	78	78	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_70_11431	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	42849	88	88	1.0	1.0	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_53_11196	scgenerai_config	clustering_score_leiden.json		21321	50	78	0.6410256410256411	0.6410256410256411	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_70_11431	scgenerai_config	clustering_score_leiden.json		21321	39	88	0.4431818181818182	0.4431818181818182	net_53_11196_net_70_11431_net_84_9903	config_easy	2
net_115_11153	netmap_config_1	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_1	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_2	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_2	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_3	clustering_score_leiden.json	0.5	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_3	clustering_score_leiden.json	0.5	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_4	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_4	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_5	clustering_score_leiden.json		66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_5	clustering_score_leiden.json		66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_6	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_6	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_8	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_8	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_config_9	clustering_score_leiden.json	0.5	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_config_9	clustering_score_leiden.json	0.5	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_ensemble_zinb_mean	clustering_score_leiden.json	0.5	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_ensemble_zinb_mean	clustering_score_leiden.json	0.5	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	netmap_ensemble_zinb_median	clustering_score_leiden.json	0.5	66564	117	117	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	netmap_ensemble_zinb_median	clustering_score_leiden.json	0.5	66564	87	87	1.0	1.0	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_115_11153	scgenerai_config	clustering_score_leiden.json	0.5	33153	14	117	0.11965811965811966	0.11965811965811966	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_59_10488	scgenerai_config	clustering_score_leiden.json	0.5	33153	43	87	0.4942528735632184	0.4942528735632184	net_59_10488_net_115_11153_net_84_11226	config_easy	2
net_172_10626	netmap_config_1	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_1	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_2	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_2	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_3	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_3	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_4	clustering_score_leiden.json		113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_4	clustering_score_leiden.json		113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_5	clustering_score_leiden.json	0.5	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_5	clustering_score_leiden.json	0.5	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_6	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_6	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_8	clustering_score_leiden.json		113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_8	clustering_score_leiden.json		113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_config_9	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_config_9	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_ensemble_zinb_mean	clustering_score_leiden.json	0.5	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_ensemble_zinb_mean	clustering_score_leiden.json	0.5	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	netmap_ensemble_zinb_median	clustering_score_leiden.json	0.5	113569	239	239	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	netmap_ensemble_zinb_median	clustering_score_leiden.json	0.5	113569	98	98	1.0	1.0	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_172_10626	scgenerai_config	clustering_score_leiden.json	0.5	56616	136	239	0.5690376569037657	0.5690376569037657	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_89_11634	scgenerai_config	clustering_score_leiden.json	0.5	56616	40	98	0.40816326530612246	0.40816326530612246	net_172_10626_net_89_11634_net_76_10367	config_easy	2
net_60_10082	netmap_config_1	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_1	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_2	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_2	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_3	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_3	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_4	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_4	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_5	clustering_score_leiden.json		43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_5	clustering_score_leiden.json		43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_6	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_6	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_8	clustering_score_leiden.json	0.5	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_8	clustering_score_leiden.json	0.5	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_config_9	clustering_score_leiden.json	0.5	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_config_9	clustering_score_leiden.json	0.5	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_ensemble_nb_mean	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_ensemble_nb_median	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_ensemble_zinb_mean	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_ensemble_zinb_mean	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	43264	104	104	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	netmap_ensemble_zinb_median	clustering_score_leiden.json	1.0	43264	71	71	1.0	1.0	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_60_10082	scgenerai_config	clustering_score_leiden.json	0.5	21528	14	104	0.1346153846153846	0.1346153846153846	net_60_10082_net_64_11307_net_84_11226	config_easy	2
net_64_11307	scgenerai_config	clustering_score_leiden.json	0.5	21528	18	71	0.2535211267605634	0.2535211267605634	net_60_10082_net_64_11307_net_84_11226	config_easy	2
