	cluster	source	jaccard_score	size_a	size_b	threshold	top_regulons	comparison	file_a	file_b
25	pDC	HLA-DPA1	0.5384615384615384	10	10	10	5	bd-rhap-rep1-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep1-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
26	DC	HLA-DPB1	0.8181818181818182	10	10	10	5	bd-rhap-rep1-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep1-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
27	DC	HLA-DRB1	0.6666666666666666	10	10	10	5	bd-rhap-rep1-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep1-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
28	nk_cells	TAGLN2	0.17647058823529413	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
29	nk_cells	IFITM2	0.17647058823529413	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
30	cd4+_tcells	TAGLN2	0.3333333333333333	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
31	cd14-_monocytes	HLA-DPB1	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
32	pDC	HLA-DQB1	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
33	b_cells	HLA-DQB1	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
34	b_cells	HLA-DQA1	0.5384615384615384	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
35	pDC	HLA-DPA1	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
36	DC	HLA-DPB1	0.5384615384615384	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
37	pDC	HLA-DPB1	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
38	cd14-_monocytes	HLA-DQA1	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
39	DC	HLA-DRB1	0.5384615384615384	10	10	10	5	bd-rhap-rep2-X/regulons_10.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10.tsv	bd-rhap-rep2-X/regulons_10.tsv	10x-rep1-kallisto-cellbender-X/regulons_10.tsv
40	cd14+_monocytes	VOPP1	0.25	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
41	b_cells	HLA-DPB1	0.6666666666666666	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
42	b_cells	HLA-DPA1	0.7391304347826086	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
43	cd4+_tcells	NIBAN1	0.06896551724137931	20	11	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
44	pDC	HLA-DQB1	0.5384615384615384	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
45	cd14-_monocytes	VOPP1	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
46	DC	HLA-DPB1	0.6666666666666666	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
47	cd4+_tcells	VOPP1	0.6	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
48	b_cells	HLA-DQA1	0.5384615384615384	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
49	b_cells	HLA-DRB1	0.6	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
50	cd8+_tcells	HLA-DPB1	0.6666666666666666	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
51	DC	HLA-DQB1	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
52	pDC	HLA-DQA1	0.7391304347826086	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
53	b_cells	HLA-DQB1	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
54	cd14-_monocytes	HLA-DQA1	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
55	DC	HLA-DQA1	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs bd-rhap-rep2-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv
56	DC	FOS	0.14285714285714285	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
57	cd14-_monocytes	CPVL	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
58	b_cells	HLA-DPB1	0.25	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
59	cd14-_monocytes	HLA-DQB1	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
60	pDC	HLA-DQB1	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
61	b_cells	HLA-DQB1	0.2903225806451613	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
62	b_cells	HLA-DQA1	0.2903225806451613	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
63	b_cells	HLA-DRB1	0.2903225806451613	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
64	cd14-_monocytes	HLA-DQA1	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
65	cd14+_monocytes	CPVL	0.2903225806451613	20	20	20	5	bd-rhap-rep1-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep1-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
66	nk_cells	TAGLN2	0.21212121212121213	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
67	nk_cells	IFITM2	0.17647058823529413	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
68	b_cells	HLA-DPB1	0.25	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
69	pDC	HLA-DQB1	0.2903225806451613	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
70	b_cells	HLA-DQB1	0.2903225806451613	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
71	b_cells	HLA-DQA1	0.3793103448275862	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
72	pDC	HLA-DPA1	0.3333333333333333	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
73	b_cells	HLA-DRB1	0.3333333333333333	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
74	pDC	HLA-DPB1	0.3333333333333333	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
75	cd14-_monocytes	HLA-DQA1	0.21212121212121213	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
76	DC	HLA-DRB1	0.3333333333333333	20	20	20	5	bd-rhap-rep2-X/regulons_20.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20.tsv	bd-rhap-rep2-X/regulons_20.tsv	10x-rep1-kallisto-cellbender-X/regulons_20.tsv
77	cd14+_monocytes	VOPP1	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
78	b_cells	HLA-DPB1	0.6216216216216216	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
79	cd14+_monocytes	HLA-DQA1	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
80	cd4+_tcells	NIBAN1	0.10810810810810811	30	11	30	5	bd-rhap-rep1-X/regulons_30.tsv vs bd-rhap-rep2-X/regulons_30.tsv	bd-rhap-rep1-X/regulons_30.tsv	bd-rhap-rep2-X/regulons_30.tsv
