n_top	percentage_overlap	configuration	target	percentage_recovered	tp	gs_count	pp	type	grn	net	top_perc	dataset	method	xai_method	hidden_layer_size	n_hidden_layers	dropout	model	background	raw
0.75	0.6954347826086957	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.001	0.014434782608695653	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.09259782608695652	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.19758695652173913	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.2718478260869565	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.4413586956521739	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.5113152173913044	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.8100760869565218	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9665108695652174	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.001	0.0032727272727272726	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.023415584415584414	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.15474025974025976	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.2998571428571428	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.5148701298701299	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.6044155844155845	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.8728311688311688	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9775454545454546	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.004467532467532467	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.03272727272727273	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.12744155844155844	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.17403896103896105	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.5357532467532468	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.8362597402597403	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	0.0013369565217391307	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.040663043478260864	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.17930434782608698	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.23958695652173911	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.5134021739130434	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.7982934782608695	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.001	0.008608695652173913	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.0587391304347826	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.17984782608695654	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.26359782608695653	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.40135869565217397	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.46775	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.7820434782608696	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.944445652173913	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.025064935064935068	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.05	0.14927272727272725	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.1	0.2605324675324675	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.2	0.4467662337662338	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.25	0.5308571428571428	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.5	0.8324155844155845	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.75	0.9890649350649351	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.05	0.005922077922077922	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.1	0.006987012987012988	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.2	0.08092207792207792	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.25	0.1455974025974026	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.5	0.5293636363636363	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.75	0.8222987012987013	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.05	0.0002717391304347826	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.1	0.025880434782608694	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.2	0.153	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.25	0.20890217391304344	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.5	0.4937173913043478	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.75	0.7571521739130435	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.001	0.00020652173913043476	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.01	0.08713043478260872	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.05	0.21020652173913038	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.1	0.29657608695652177	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.2	0.4807065217391305	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.25	0.5618695652173912	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.5	0.8826086956521739	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.75	0.9952717391304348	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.001	0.0034025974025974027	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.01	0.021415584415584412	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.05	0.16722077922077921	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.1	0.3094415584415584	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.2	0.5197792207792207	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.25	0.6078311688311688	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.5	0.8823116883116882	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.75	0.9767012987012987	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.05	0.0045974025974025974	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.1	0.0245974025974026	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.2	0.12390909090909091	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.25	0.188987012987013	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.5	0.5706233766233767	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.75	0.8990129870129869	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.05	0.0029347826086956524	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.1	0.053021739130434786	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.2	0.1905	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.25	0.25386956521739135	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.5	0.5579021739130434	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.75	0.8449239130434784	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	off_target																	
0.001	0.0064565217391304355	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.01	0.0711195652173913	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.05	0.19794565217391302	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.1	0.29629347826086955	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.2	0.46028260869565224	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.25	0.5345760869565218	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.5	0.8269565217391304	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.75	0.9742065217391304	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
0.01	0.05164571428571429	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.15238857142857143	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.2520914285714286	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.4272114285714286	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.5413028571428572	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.77024	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9335542857142858	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.00064	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.1396	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.22697142857142857	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.7530285714285714	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.9431885714285714	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	0.05705142857142857	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.13137142857142858	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.3573942857142857	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.44056	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.8387657142857142	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.993622857142857	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.00393939393939394	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.0838939393939394	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.14295454545454547	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.48239393939393943	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.7488030303030303	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.01	0.030363636363636357	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.0995909090909091	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.20968181818181822	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.35890909090909096	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.4474545454545455	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.7779545454545455	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9043939393939393	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.006984848484848484	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.04075757575757576	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.17210606060606062	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.2591515151515152	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.7010606060606062	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.9785151515151514	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.027174999999999998	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.18882499999999997	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.2917	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.6587500000000001	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.893975	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.01235	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.12610000000000002	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.206525	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.512175	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.9472999999999999	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.01	0.010925	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.08232500000000001	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.11100000000000002	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.22209999999999996	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.31467500000000004	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.698625	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.951225	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.001	0.00035428571428571426	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.04921142857142857	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.19594285714285714	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.3203771428571428	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.5120228571428572	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.5814171428571429	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.8094857142857143	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9055657142857144	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.008297142857142857	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.0866742857142857	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.29235428571428573	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.41528000000000004	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.8629600000000002	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.946262857142857	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.01	0.0028914285714285713	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	0.13454857142857143	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.2857828571428571	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.47112	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.5378742857142857	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.8981828571428573	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.9682514285714287	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	0.00015151515151515152	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.012818181818181817	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.08457575757575757	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.14850000000000002	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.5158030303030303	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.8236363636363635	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.001	0.0044090909090909085	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.03822727272727273	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.14640909090909088	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.2545909090909091	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.4261818181818182	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.4984393939393939	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.7936212121212121	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.8848181818181817	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.01721212121212121	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.04742424242424242	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.20278787878787882	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.26836363636363636	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.628530303030303	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.8673181818181818	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	0.012175	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.09765	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.3308749999999999	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.40175	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.6219750000000001	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.9032500000000001	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	0.0024000000000000002	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.03225	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.155975	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.213225	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.45404999999999995	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.9505750000000001	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.01	0.015375	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.083575	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.11334999999999999	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.17902500000000002	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.23819999999999997	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.6139500000000001	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9300750000000001	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.01	0.04042285714285714	GuidedBackprop_64_1_0.1_ZINBAutoencoder_zeros_X	on_target																	
