n_top	percentage_overlap	configuration	target	percentage_recovered	tp	gs_count	pp	type	grn	net	top_perc	dataset	method	xai_method	hidden_layer_size	n_hidden_layers	dropout	model	background	raw
0.01	0.009818181818181818	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.15549350649350652	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.1	0.24198701298701297	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.2	0.4645974025974026	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.25	0.5452207792207792	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.5	0.8564675324675326	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.75	0.9947532467532468	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	on_target																	
0.05	0.005753246753246753	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.008818181818181819	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.1124155844155844	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.17355844155844155	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.47644155844155844	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.75	0.8109610389610389	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
1.0	1.0	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.05	3.260869565217392e-05	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.1	0.024086956521739127	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.2	0.14209782608695654	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.25	0.20317391304347826	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
0.5	0.4730652173913044	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_X	off_target																	
