percentage_recovered	tp	gs_count	pp	type	grn	net	config	dataset	top_perc
0.3076923076923077	24	78	8804	off_target	1	0	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.25
0.3846153846153846	30	78	17608	off_target	1	0	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.5
0.3846153846153846	30	78	17902	off_target	1	0	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.75
0.3846153846153846	30	78	17902	off_target	1	0	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	1.0
0.0	0	88	35	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.001
0.0113636363636363	1	88	352	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.01
0.1363636363636363	12	88	1761	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.05
0.2159090909090909	19	88	3522	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.1
0.3522727272727273	31	88	7043	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.2
0.4431818181818182	39	88	8804	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.25
0.7272727272727273	64	88	17608	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.5
0.7272727272727273	64	88	17902	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	0.75
0.7272727272727273	64	88	17902	on_target	1	1	grnboost2_config	net_53_11196_net_70_11431_net_84_9903	1.0
0.0	0	78	16	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.001
0.0384615384615384	3	78	159	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.01
0.2179487179487179	17	78	794	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.05
0.2948717948717949	23	78	1589	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.1
0.4230769230769231	33	78	3178	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.2
0.4743589743589743	37	78	3972	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.25
0.8974358974358975	70	78	7836	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.5
0.8974358974358975	70	78	7836	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.75
0.8974358974358975	70	78	7836	on_target	0	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	1.0
0.0	0	88	16	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.001
0.0227272727272727	2	88	159	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.01
0.25	22	88	794	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.05
0.3863636363636363	34	88	1589	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.1
0.6477272727272727	57	88	3178	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.2
0.7045454545454546	62	88	3972	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.25
0.875	77	88	7836	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.5
0.875	77	88	7836	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.75
0.875	77	88	7836	off_target	0	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	1.0
0.0	0	78	16	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.001
0.0	0	78	159	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.01
0.0897435897435897	7	78	794	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.05
0.1923076923076923	15	78	1589	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.1
0.4487179487179487	35	78	3178	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.2
0.5512820512820513	43	78	3972	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.25
0.9615384615384616	75	78	7944	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.5
0.9615384615384616	75	78	8052	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.75
0.9615384615384616	75	78	8052	off_target	1	0	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	1.0
0.0	0	88	16	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.001
0.0681818181818181	6	88	159	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.01
0.2954545454545454	26	88	794	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.05
0.4886363636363636	43	88	1589	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.1
0.7272727272727273	64	88	3178	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.2
0.75	66	88	3972	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.25
0.9204545454545454	81	88	7944	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.5
0.9318181818181818	82	88	8052	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	0.75
0.9318181818181818	82	88	8052	on_target	1	1	grnboost2_config_2	net_53_11196_net_70_11431_net_84_9903	1.0
0.0	0	87	47	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.001
0.0229885057471264	2	87	475	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.01
0.0689655172413793	6	87	2374	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.05
0.0919540229885057	8	87	4748	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.1
0.2068965517241379	18	87	9496	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.2
0.2873563218390804	25	87	11870	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.25
0.4827586206896552	42	87	23740	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.5
0.4827586206896552	42	87	23785	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.75
0.4827586206896552	42	87	23785	on_target	0	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	117	47	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.001
0.0085470085470085	1	117	475	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.01
0.0341880341880341	4	117	2374	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.05
0.0683760683760683	8	117	4748	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.1
0.1794871794871795	21	117	9496	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.2
0.2307692307692307	27	117	11870	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.25
0.452991452991453	53	117	23740	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.5
0.452991452991453	53	117	23785	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.75
0.452991452991453	53	117	23785	off_target	0	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	87	47	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.001
0.0229885057471264	2	87	475	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.01
0.1149425287356321	10	87	2374	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.05
0.2068965517241379	18	87	4748	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.1
0.3793103448275862	33	87	9496	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.2
0.4482758620689655	39	87	11870	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.25
0.5632183908045977	49	87	23695	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.5
0.5632183908045977	49	87	23695	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.75
0.5632183908045977	49	87	23695	off_target	1	0	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	1.0
0.0	0	117	47	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.001
0.0	0	117	475	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.01
0.0	0	117	2374	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.05
0.0085470085470085	1	117	4748	on_target	1	1	grnboost2_config	net_59_10488_net_115_11153_net_84_11226	0.1
