	cluster	source	jaccard_score	size_a	size_b	threshold	top_regulons	comparison	file_a	file_b
0	pDC	IRF8	0.6666666666666666	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
1	b_cells	IRF8	0.25	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
2	pDC	FOXP1	0.42857142857142855	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
3	b_cells	HDAC9	0.8181818181818182	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
4	nk_cells	NFATC2	0.42857142857142855	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
5	b_cells	BCL11A	0.5384615384615384	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
6	cd14-_monocytes	HDAC9	0.3333333333333333	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
7	cd14-_monocytes	ID2	0.5384615384615384	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
8	cd4+_tcells	TRERF1	0.25	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
9	cd14+_monocytes	NR4A1	0.42857142857142855	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
