	cluster	source	jaccard_score	size_a	size_b	threshold	top_regulons	comparison	file_a	file_b
10	cd8+_tcells	NFATC2	0.25	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
11	DC	ID2	0.3333333333333333	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
12	cd4+_tcells	ID2	0.17647058823529413	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
13	cd14+_monocytes	HDAC9	0.5384615384615384	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs bd-rhap-rep2-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv
14	cd14+_monocytes	TLE5	0.05263157894736842	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
15	cd14-_monocytes	CEBPD	0.42857142857142855	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
16	pDC	IRF8	0.5384615384615384	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
17	b_cells	IRF8	0.42857142857142855	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
18	pDC	TLE5	0.17647058823529413	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
19	b_cells	BCL11A	0.42857142857142855	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
20	cd14-_monocytes	ID2	0.0	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
21	cd14-_monocytes	LMO4	0.25	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
22	DC	ID2	0.1111111111111111	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
23	cd8+_tcells	ID2	0.1111111111111111	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
24	b_cells	FOS	0.1111111111111111	10	10	10	5	bd-rhap-rep1-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep1-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
25	cd14+_monocytes	ID2	0.0	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
26	pDC	IRF8	0.6666666666666666	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
27	b_cells	IRF8	0.17647058823529413	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
28	b_cells	BCL11A	0.42857142857142855	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
29	cd14-_monocytes	ID2	0.0	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
30	cd8+_tcells	BTG2	0.05263157894736842	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
31	DC	ID2	0.05263157894736842	10	10	10	5	bd-rhap-rep2-X/regulons_10_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv	bd-rhap-rep2-X/regulons_10_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_10_TF.tsv
32	pDC	IRF8	0.8181818181818182	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
33	b_cells	IRF8	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
34	cd8+_tcells	MAX	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
35	nk_cells	NFATC2	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
36	b_cells	BCL11A	0.6	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
37	cd14-_monocytes	HDAC9	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
38	cd14+_monocytes	RUNX3	0.6	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
39	cd14+_monocytes	NR4A1	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
40	DC	ID2	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
41	cd14-_monocytes	NR4A1	0.3333333333333333	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
42	cd14+_monocytes	HDAC9	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs bd-rhap-rep2-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv
43	pDC	FOS	0.05263157894736842	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
44	cd14+_monocytes	TLE5	0.05263157894736842	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
45	DC	FOS	0.14285714285714285	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
46	cd14-_monocytes	CEBPD	0.21212121212121213	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
47	b_cells	IRF8	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
48	cd4+_tcells	BTG2	0.14285714285714285	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
49	pDC	TLE5	0.21212121212121213	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
50	b_cells	BCL11A	0.48148148148148145	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
51	pDC	BCL11A	0.5384615384615384	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
52	DC	TLE5	0.14285714285714285	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
53	DC	ID2	0.08108108108108109	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
54	b_cells	FOS	0.1111111111111111	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
55	pDC	JUN	0.17647058823529413	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
56	cd14-_monocytes	NR4A1	0.21212121212121213	20	20	20	5	bd-rhap-rep1-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep1-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
57	cd14+_monocytes	ID2	0.21212121212121213	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
58	b_cells	IRF8	0.21212121212121213	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
59	b_cells	BCL11A	0.42857142857142855	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
60	cd8+_tcells	BTG2	0.17647058823529413	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
61	DC	ID2	0.08108108108108109	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
62	nk_cells	RUNX3	0.21212121212121213	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
63	cd14-_monocytes	NR4A1	0.1111111111111111	20	20	20	5	bd-rhap-rep2-X/regulons_20_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv	bd-rhap-rep2-X/regulons_20_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_20_TF.tsv
64	pDC	IRF8	0.6216216216216216	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
65	b_cells	IRF8	0.4634146341463415	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
66	nk_cells	NFATC2	0.4634146341463415	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
67	b_cells	BCL11A	0.7647058823529411	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
68	cd14-_monocytes	HDAC9	0.25	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
69	cd14+_monocytes	RUNX3	0.3953488372093023	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
70	cd14+_monocytes	NR4A1	0.42857142857142855	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
71	cd8+_tcells	NFATC2	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
72	cd8+_tcells	ID2	0.36363636363636365	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
73	DC	ID2	0.3953488372093023	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
74	cd14-_monocytes	NR4A1	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
75	cd14+_monocytes	HDAC9	0.5	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs bd-rhap-rep2-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv
76	pDC	FOS	0.05263157894736842	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
77	cd14-_monocytes	CEBPD	0.22448979591836735	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
78	pDC	IRF8	0.5789473684210527	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
79	b_cells	IRF8	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
80	cd4+_tcells	BTG2	0.17647058823529413	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
81	pDC	TLE5	0.3333333333333333	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
82	b_cells	BCL11A	0.36363636363636365	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
83	pDC	BCL11A	0.42857142857142855	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
84	DC	TLE5	0.17647058823529413	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
85	DC	ID2	0.07142857142857142	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
86	cd14+_monocytes	CEBPD	0.2765957446808511	30	30	30	5	bd-rhap-rep1-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep1-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
87	cd14+_monocytes	ID2	0.2	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
88	pDC	IRF8	0.4634146341463415	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
89	b_cells	IRF8	0.17647058823529413	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
90	b_cells	BCL11A	0.3333333333333333	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
91	cd8+_tcells	BTG2	0.15384615384615385	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
92	nk_cells	ID2	0.17647058823529413	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
93	b_cells	TCF4	0.2765957446808511	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
94	DC	ID2	0.1111111111111111	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
95	nk_cells	RUNX3	0.22448979591836735	30	30	30	5	bd-rhap-rep2-X/regulons_30_TF.tsv vs 10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv	bd-rhap-rep2-X/regulons_30_TF.tsv	10x-rep1-kallisto-cellbender-X/regulons_30_TF.tsv
96	pDC	IRF8	0.7021276595744681	40	40	40	5	bd-rhap-rep1-X/regulons_40_TF.tsv vs bd-rhap-rep2-X/regulons_40_TF.tsv	bd-rhap-rep1-X/regulons_40_TF.tsv	bd-rhap-rep2-X/regulons_40_TF.tsv
