,method,clustering_score,training_time,inference_time,dataset
114,Deconvolution_32_3_0.1_NegativeBinomialAutoencoder_zeros,1.0,310.53645359399525,106.87969904700003,net_84_10865_net_88_10937_net_90_11013
115,GuidedBackprop_32_3_0.1_ZINBAutoencoder_zeros,1.0,428.7718890220058,115.94740085500234,net_84_10865_net_88_10937_net_90_11013
116,GradientShap_32_3_0.1_ZINBAutoencoder_zeros,1.0,428.7718890220058,216.81990476200008,net_84_10865_net_88_10937_net_90_11013
117,GradientShap_32_3_0.1_ZINBAutoencoder_randomize,1.0,428.7718890220058,214.9715399390043,net_84_10865_net_88_10937_net_90_11013
118,GradientShap_32_3_0.1_ZINBAutoencoder_data,1.0,428.7718890220058,213.12624255700212,net_84_10865_net_88_10937_net_90_11013
119,Deconvolution_32_3_0.1_ZINBAutoencoder_zeros,1.0,428.7718890220058,108.48667699300131,net_84_10865_net_88_10937_net_90_11013
120,GuidedBackprop_16_1_0_NegativeBinomialAutoencoder_zeros,1.0,394.1589621860039,109.34522876700066,net_84_10865_net_88_10937_net_90_11013
121,GradientShap_16_1_0_NegativeBinomialAutoencoder_zeros,1.0,394.1589621860039,214.43550911700004,net_84_10865_net_88_10937_net_90_11013
122,GradientShap_16_1_0_NegativeBinomialAutoencoder_randomize,1.0,394.1589621860039,212.70894936800323,net_84_10865_net_88_10937_net_90_11013
123,GradientShap_16_1_0_NegativeBinomialAutoencoder_data,1.0,394.1589621860039,212.733177848997,net_84_10865_net_88_10937_net_90_11013
124,Deconvolution_16_1_0_NegativeBinomialAutoencoder_zeros,1.0,394.1589621860039,105.5880764790054,net_84_10865_net_88_10937_net_90_11013
125,GuidedBackprop_16_1_0_ZINBAutoencoder_zeros,0.761,618.7267777059969,109.2487886759991,net_84_10865_net_88_10937_net_90_11013
126,GradientShap_16_1_0_ZINBAutoencoder_zeros,1.0,618.7267777059969,214.1202914050009,net_84_10865_net_88_10937_net_90_11013
127,GradientShap_16_1_0_ZINBAutoencoder_randomize,1.0,618.7267777059969,213.29340676599531,net_84_10865_net_88_10937_net_90_11013
128,GradientShap_16_1_0_ZINBAutoencoder_data,1.0,618.7267777059969,213.18844174299738,net_84_10865_net_88_10937_net_90_11013
129,Deconvolution_16_1_0_ZINBAutoencoder_zeros,1.0,618.7267777059969,106.36814728099853,net_84_10865_net_88_10937_net_90_11013
130,GuidedBackprop_16_1_0.1_NegativeBinomialAutoencoder_zeros,0.603,679.9558473299985,107.35643734400219,net_84_10865_net_88_10937_net_90_11013
131,GradientShap_16_1_0.1_NegativeBinomialAutoencoder_zeros,1.0,679.9558473299985,214.1169227779974,net_84_10865_net_88_10937_net_90_11013
132,GradientShap_16_1_0.1_NegativeBinomialAutoencoder_randomize,1.0,679.9558473299985,211.77441832699697,net_84_10865_net_88_10937_net_90_11013
