percentage_overlap	tp	gs_count	pp	target	grn	net	n_top	dataset	method	xai_method	hidden_layer_size	n_hidden_layers	dropout	model	background	raw
0.0	0	154	69	on_target	net_84_10865	0	0.001	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0194805194805194	3	154	686	on_target	net_84_10865	0	0.01	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.1623376623376623	25	154	3432	on_target	net_84_10865	0	0.05	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.2402597402597402	37	154	6864	on_target	net_84_10865	0	0.1	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.3896103896103896	60	154	13729	on_target	net_84_10865	0	0.2	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.512987012987013	79	154	17161	on_target	net_84_10865	0	0.25	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.8506493506493507	131	154	34322	on_target	net_84_10865	0	0.5	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.9935064935064936	153	154	51483	on_target	net_84_10865	0	0.75	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
1.0	154	154	68644	on_target	net_84_10865	0	1.0	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	154	69	off_target	net_84_10865	1	0.001	net_84_10865_net_88_10937_net_90_11013	GuidedBackprop_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GuidedBackprop	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
