,experiment,time,time_min
0,10x-rep1-kallisto-cellbender-X,5619.610297605977,93.66017162676629
1,10x-rep1-kallisto-cellbender-X,5564.99401013297,92.74990016888283
2,10x-rep1-kallisto-cellbender-X,5291.540278252971,88.19233797088285
3,10x-rep1-kallisto-cellbender-X,4910.84249289002,81.84737488150034
4,10x-rep1-kallisto-cellbender-X,4739.312473736994,78.98854122894991
5,10x-rep1-kallisto-cellbender-X,4642.379815508029,77.37299692513382
6,10x-rep1-kallisto-cellbender-X,4614.707963576948,76.91179939294913
7,10x-rep1-kallisto-cellbender-X,4598.16776738601,76.63612945643351
8,10x-rep1-kallisto-cellbender-X,4621.761222587025,77.02935370978375
9,10x-rep1-kallisto-cellbender-X,4591.588313868968,76.52647189781614
10,bd-rhap-rep2-X,9962.919088302997,166.04865147171662
11,bd-rhap-rep2-X,10744.810818040976,179.08018030068294
12,bd-rhap-rep2-X,10177.579759564018,169.62632932606695
13,bd-rhap-rep2-X,10329.67725413799,172.16128756896651
14,bd-rhap-rep2-X,10315.702091643005,171.92836819405008
15,bd-rhap-rep2-X,9590.450965780998,159.8408494296833
16,bd-rhap-rep2-X,9458.88584446098,157.648097407683
17,bd-rhap-rep2-X,9448.65839572897,157.47763992881616
18,bd-rhap-rep2-X,9599.594475464022,159.9932412577337
19,bd-rhap-rep2-X,10687.05229486298,178.11753824771634
