percentage_overlap	tp	gs_count	pp	target	grn	net	n_top	dataset	method	xai_method	hidden_layer_size	n_hidden_layers	dropout	model	background	raw
0.0	0	154	69	on_target	net_84_10865	0	0.001	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0129870129870129	2	154	686	on_target	net_84_10865	0	0.01	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0909090909090909	14	154	3432	on_target	net_84_10865	0	0.05	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.1493506493506493	23	154	6864	on_target	net_84_10865	0	0.1	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.3766233766233766	58	154	13729	on_target	net_84_10865	0	0.2	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.461038961038961	71	154	17161	on_target	net_84_10865	0	0.25	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.7792207792207793	120	154	34322	on_target	net_84_10865	0	0.5	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.8896103896103896	137	154	51483	on_target	net_84_10865	0	0.75	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
1.0	154	154	68644	on_target	net_84_10865	0	1.0	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	154	69	off_target	net_84_10865	1	0.001	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	154	686	off_target	net_84_10865	1	0.01	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0064935064935064	1	154	3432	off_target	net_84_10865	1	0.05	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0129870129870129	2	154	6864	off_target	net_84_10865	1	0.1	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0519480519480519	8	154	13729	off_target	net_84_10865	1	0.2	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0909090909090909	14	154	17161	off_target	net_84_10865	1	0.25	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.448051948051948	69	154	34322	off_target	net_84_10865	1	0.5	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.8961038961038961	138	154	51483	off_target	net_84_10865	1	0.75	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
1.0	154	154	68644	off_target	net_84_10865	1	1.0	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	184	69	off_target	net_88_10937	0	0.001	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	184	686	off_target	net_88_10937	0	0.01	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	184	3432	off_target	net_88_10937	0	0.05	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0217391304347826	4	184	6864	off_target	net_88_10937	0	0.1	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.1032608695652173	19	184	13729	off_target	net_88_10937	0	0.2	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.1847826086956521	34	184	17161	off_target	net_88_10937	0	0.25	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.532608695652174	98	184	34322	off_target	net_88_10937	0	0.5	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.8152173913043478	150	184	51483	off_target	net_88_10937	0	0.75	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
1.0	184	184	68644	off_target	net_88_10937	0	1.0	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0217391304347826	4	184	69	on_target	net_88_10937	1	0.001	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0652173913043478	12	184	686	on_target	net_88_10937	1	0.01	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.1521739130434782	28	184	3432	on_target	net_88_10937	1	0.05	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.2445652173913043	45	184	6864	on_target	net_88_10937	1	0.1	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.358695652173913	66	184	13729	on_target	net_88_10937	1	0.2	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.4076086956521739	75	184	17161	on_target	net_88_10937	1	0.25	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.6793478260869565	125	184	34322	on_target	net_88_10937	1	0.5	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.8369565217391305	154	184	51483	on_target	net_88_10937	1	0.75	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
1.0	184	184	68644	on_target	net_88_10937	1	1.0	net_84_10865_net_88_10937_net_90_11013	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
0.0	0	201	82	on_target	net_133_10773	0	0.001	net_133_10773_net_82_10152_net_72_10551	GradientShap_64_1_0.1_NegativeBinomialAutoencoder_zeros_False	GradientShap	64	1	0.1	NegativeBinomialAutoencoder	zeros	False
